City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
128,Aykhal,RU,2023-07-28 21:31:39,66.0,111.5,65.79,46,91,2.08
129,Grand Baie,MU,2023-07-28 21:31:40,-20.0182,57.5802,72.07,75,31,1.01
130,Tura,IN,2023-07-28 21:31:40,25.5198,90.2201,74.53,98,98,5.99
131,Caluula,SO,2023-07-28 21:31:40,11.9661,50.7569,84.76,76,24,3.76
132,Nemuro,JP,2023-07-28 21:31:40,43.3236,145.575,63.46,94,97,3.83
133,Saint-Francois,FR,2023-07-28 21:31:40,46.4154,3.9054,67.44,73,0,3.44
134,El Calafate,AR,2023-07-28 21:31:41,-50.3408,-72.2768,36.09,94,85,2.53
135,Isafjordur,IS,2023-07-28 21:31:41,66.0755,-23.124,44.56,93,100,8.5
136,Vila Velha,BR,2023-07-28 21:31:41,-20.3297,-40.2925,73.35,85,0,5.75
137,Souillac,MU,2023-07-28 21:31:41,-20.5167,57.5167,71.98,78,40,4.61
138,Nova Xavantina,BR,2023-07-28 21:31:41,-14.6667,-52.35,80.74,28,86,3.38
139,Rongelap,MH,2023-07-28 21:31:42,11.1635,166.8941,83.25,81,78,22.15
140,Encarnacion De Diaz,MX,2023-07-28 21:31:42,21.5167,-102.2333,78.39,33,97,10.27
141,Ketchikan,US,2023-07-28 21:31:42,55.3422,-131.6461,72.07,68,0,9.22
142,Remire-Montjoly,GF,2023-07-28 21:31:42,4.9167,-52.2667,86.04,74,75,9.22
143,Koniecpol,PL,2023-07-28 21:31:42,50.7747,19.689,64.29,93,1,7.25
144,Den Burg,NL,2023-07-28 21:32:42,53.0542,4.7972,66.0,89,75,9.22
145,Reggane,DZ,2023-07-28 21:32:43,26.7158,0.1714,103.37,7,8,8.9
146,Guerrero Negro,MX,2023-07-28 21:32:04,27.9769,-114.0611,83.88,45,25,13.27
147,Vadso,NO,2023-07-28 21:32:43,70.0744,29.7487,51.96,93,20,3.44
148,Nadym,RU,2023-07-28 21:32:44,65.5333,72.5167,62.42,87,93,5.53
149,Hermanus,ZA,2023-07-28 21:32:44,-34.4187,19.2345,50.81,93,100,25.3
150,Timimoun,DZ,2023-07-28 21:32:45,29.2639,0.231,106.18,9,37,6.91
151,Hadibu,YE,2023-07-28 21:32:46,12.65,54.0333,78.06,78,60,27.47
152,Pisco,PE,2023-07-28 21:32:46,-13.7,-76.2167,69.85,78,0,8.05
153,Ishqoshim,TJ,2023-07-28 21:32:46,36.7248,71.6133,59.72,58,69,4.61
154,Saipan,MP,2023-07-28 21:32:16,15.1355,145.701,81.64,100,40,6.91
155,Shakawe,BW,2023-07-28 21:32:47,-18.3667,21.85,63.0,33,6,6.51
156,An Nuhud,SD,2023-07-28 21:32:47,12.7,28.4333,88.47,44,100,9.66
157,Port Shepstone,ZA,2023-07-28 21:32:47,-30.7414,30.455,68.58,56,83,8.77
158,Uturoa,PF,2023-07-28 21:32:47,-16.7333,-151.4333,79.56,78,8,10.71
159,Salto Del Guaira,PY,2023-07-28 21:32:48,-24.0625,-54.3069,66.56,88,64,5.1
160,Pankrushikha,RU,2023-07-28 21:32:48,53.8319,80.3406,59.61,85,36,2.19
161,Talnakh,RU,2023-07-28 21:32:48,69.4865,88.3972,65.21,66,85,5.41
162,Tralee,IE,2023-07-28 21:31:51,52.2704,-9.7026,54.48,92,65,9.91
163,Kavaratti,IN,2023-07-28 21:32:49,10.5669,72.642,82.71,76,9,15.37
164,Mawlaik,MM,2023-07-28 21:32:49,23.6333,94.4167,77.27,99,100,1.19
165,Punta Arenas,CL,2023-07-28 21:30:10,-53.15,-70.9167,34.2,90,98,8.97
166,Dunedin,NZ,2023-07-28 21:29:58,-45.8742,170.5036,45.81,73,100,4.36
167,Shar,KZ,2023-07-28 21:32:49,49.5886,81.0453,62.31,81,99,5.12
168,Pointe-Du-Lac,CA,2023-07-28 21:32:49,46.2869,-72.6845,80.58,80,20,21.85
169,Hami,CN,2023-07-28 21:32:50,42.8,93.45,84.72,22,48,15.57
170,Vanimo,PG,2023-07-28 21:32:50,-2.6741,141.3028,77.63,87,100,4.7
171,Pombas,CV,2023-07-28 21:32:50,17.1503,-25.0201,78.58,80,57,13.31
172,Papayal,PE,2023-07-28 21:32:50,-4.0761,-80.7361,82.62,53,62,5.46
173,Villa Bruzual,VE,2023-07-28 21:32:50,9.3328,-69.1208,80.31,93,71,1.41
174,Kangding,CN,2023-07-28 21:32:50,30.0513,101.9603,57.42,97,98,0.27
175,Abingdon,GB,2023-07-28 21:32:51,51.6711,-1.2828,64.67,84,100,11.5
176,Fort Mcmurray,CA,2023-07-28 21:30:39,56.7268,-111.381,69.39,52,40,8.05
177,Kachkanar,RU,2023-07-28 21:32:51,58.7,59.4948,54.75,97,32,3.65
178,Chilaw,LK,2023-07-28 21:32:51,7.5758,79.7953,82.42,85,63,20.76
179,Puerto Ayora,EC,2023-07-28 21:32:51,-0.7393,-90.3518,82.36,92,84,5.01
180,Haiku-Pauwela,US,2023-07-28 21:32:52,20.9219,-156.3051,84.25,58,20,18.41
181,Kristiansund,NO,2023-07-28 21:32:52,63.1115,7.732,59.05,88,75,9.22
182,Ampanihy,MG,2023-07-28 21:32:52,-24.7,44.75,59.72,87,0,3.13
183,Mar Del Plata,AR,2023-07-28 21:32:52,-38.0023,-57.5575,47.95,80,20,6.91
184,Taltal,CL,2023-07-28 21:32:52,-25.4,-70.4833,62.98,76,24,3.62
185,Calvi,FR,2023-07-28 21:32:53,42.5,8.8333,68.63,73,0,3.44
186,Mount Isa,AU,2023-07-28 21:32:53,-20.7333,139.5,55.17,88,8,0.0
187,Sao Jose Da Coroa Grande,BR,2023-07-28 21:32:53,-8.8978,-35.1478,74.84,79,10,8.25
188,Kill Devil Hills,US,2023-07-28 21:32:53,36.0307,-75.676,91.42,64,0,13.8
189,Yantarnyy,RU,2023-07-28 21:32:53,54.8717,19.9381,57.74,81,8,6.76
